chad,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
chile,50000,35000,40000,25000,25000,NA,23750,20000,25000,23750,26250,28333.333333333332,30000,31250,40833.333333333336,45000,45000,65000,105000,NA,NA,177500
china,2000000,NA,NA,NA,NA,NA,13960000,NA,NA,NA,NA,18000000,NA,NA,17000000,NA,NA,17000000,NA,NA,28000000,28000000
"china, communist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18000000,18000000,18500000,21000000,17000000,17000000,17000000,NA,NA,NA,NA,NA
"china, people's republic of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17000000,17000000,NA,NA
"china, republic of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,NA,NA,NA
colombia,5000,3000,5000,5000,5000,5000,5000,8000,10000,10000,12000,12666.666666666666,11000,9500,9000,9000,9000,9776.666666666666,11000,11000,11400,11500
"communist china (""people's republic of china"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,17000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
comoro islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA
comoros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
congo (brazzaville),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
congo (kinshasa),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
congo (kinshasa) (see zaire),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
congo (leopoldville),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
costa rica,11500,2000,1000,300,300,300,300,300,300,300,300,333.3333333333333,425,500,583.3333333333334,600,800,966.6666666666666,1000,1000,1000,1250
